facility_id,facility_name,facility_type_name,facility_type_code,region_name,sido_name,sigungu_name,address,longitude,latitude,open_start,open_end
e810423643bfefcb,남이면다목적체육관,생활체육관,P0903,충청북도 청주시 서원구 남이면 청남로 888,충청북도,청주시 서원구,충청북도 청주시 서원구 남이면 청남로 888,127.426865,36.53243303,,
9cec6f3092d2011f,남이면전천후게이트볼장,전천후게이트볼장,P1001,충청북도 청주시 서원구 남이면 척산1길 29,충청북도,청주시 서원구,충청북도 청주시 서원구 남이면 척산1길 29,127.4368237,36.56439576,,
90376f63b71e6990,남일게이트볼장,간이운동장,P0801,충청북도 청주시 상당구 남일면 고은1길 19,충청북도,청주시 상당구,충청북도 청주시 상당구 남일면 고은1길 19,127.5080992,36.56783681,,
43db01ca2abedd81,남일고등학교 체육시설,간이운동장,P0801,부산광역시 수영구 망미배산로48번길 85-23 (망미동),부산광역시,수영구,부산광역시 수영구 망미배산로48번길 85-23 (망미동),129.1011691,35.17856639,,
369681654199c4d7,남일대축구장,축구장,P0201,향촌동 649,경상남도,사천시,향촌동 649,128.09833,34.92604262,,
6940d0d6ef2e9dcd,남일면 게이트볼장,전천후게이트볼장,P1001,충청남도 금산군 남일면 하초현길 20,충청남도,금산군,충청남도 금산군 남일면 하초현길 20,127.505746,36.04185852,,
e6adbb7d003c0885,남일면체육센터,생활체육관,P0903,충청남도 금산군 남일면 금산로 558-20,충청남도,금산군,충청남도 금산군 남일면 금산로 558-20,127.5044878,36.02969739,,
8a95de3eecc43dbc,남장18통(남노마을회관) 동네체육시설,간이운동장,P0801,경상북도 상주시 남장2길 8 (남장동),경상북도,상주시,경상북도 상주시 남장2길 8 (남장동),128.1175123,36.4122426,,
8b196f4e52e06c9f,남장19통(남장마을회관) 동네체육시설,간이운동장,P0801,경상북도 상주시 남장5길 1 (남장동),경상북도,상주시,경상북도 상주시 남장5길 1 (남장동),128.1139358,36.4181069,,
8f6f7a7009153290,남장동(족구장) 동네체육시설,간이운동장,P0801,경상북도 상주시 남장1길 42 (남장동),경상북도,상주시,경상북도 상주시 남장1길 42 (남장동),128.1173405,36.41512301,,
60f1588837932074,남장동 동네체육시설,간이운동장,P0801,경상북도 상주시 남장1길 42 (남장동),경상북도,상주시,경상북도 상주시 남장1길 42 (남장동),128.1173903,36.41446788,,
a85bf65ad71ce8bc,남장동 물건너 동네체육시설,간이운동장,P0801,경북 상주시 남장동 96,경상북도,상주시,경북 상주시 남장동 96,128.1183543,36.4096275,,
d8ab3ef5d8207444,남장사 동네체육시설,간이운동장,P0801,경북 상주시 남장동 496,경상북도,상주시,경북 상주시 남장동 496,128.1076718,36.42672221,,
bb8fb923dea2ed93,남전1리(남밭) 마을 입구,간이운동장,P0801,경상북도 김천시 개령면 남전리 1068,경상북도,김천시,경상북도 김천시 개령면 남전리 1068,128.19296,36.18682,,
05de8f4025f5b691,남전1리 버스정류장 옆(남전1리 남밭마을),간이운동장,P0801,경북 김천시 개령면 남전리 1068-5,경상북도,김천시,경북 김천시 개령면 남전리 1068-5,128.1929575,36.18681957,,
ed33f032294743d6,남전2리 마을회관앞,간이운동장,P0801,경상북도 김천시 개령면 남전4길 92-1,경상북도,김천시,경상북도 김천시 개령면 남전4길 92-1,128.1673322,36.20158395,,
